,2022_Non,2023_Non,2024_Non
2022_Non,1.0,0.9279479211876176,0.8452904794500463
2023_Non,0.9279479211876176,1.0,0.9049353117353298
2024_Non,0.8452904794500463,0.9049353117353298,1.0
