,2022_Mkn,2023_Mkn,2024_Mkn
2022_Mkn,1.0,0.9279479211876174,0.8452904794500461
2023_Mkn,0.9279479211876174,1.0,0.9049353117353297
2024_Mkn,0.8452904794500461,0.9049353117353297,1.0
