kabupaten,makanan,bukan_makanan
Jayapura,55.3,44.7
Kepulauan Yapen,54.6,45.4
Biak Numfor,47.32,52.68
Sarmi,54.63,45.37
Keerom,54.13,45.87
Waropen,54.16,45.84
Supiori,64.9,35.1
Mamberamo Raya,68.64,31.36
Kota Jayapura,42.16,57.84
Papua,57.36,42.64
